2026-09-15 10:42:20,622 | INFO | Generated 1 current predictions.
2026-09-15 10:42:20,630 | INFO | ========== COMPLETE predict ==========
2026-09-15 21:34:18,945 | INFO | Generated 50 current predictions.
2026-09-16 00:19:04,025 | INFO | Generated 50 current predictions.
2026-09-18 19:29:50,415 | WARNING | Predicting BHARTIARTL.NS with 5 NaN feature(s): ['sector_dispersion', 'ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-18 19:29:50,445 | WARNING | Predicting ICICIBANK.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-18 19:29:50,503 | WARNING | Predicting LT.NS with 5 NaN feature(s): ['sector_dispersion', 'ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-18 19:29:50,520 | WARNING | Predicting HINDUNILVR.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-18 19:29:50,549 | WARNING | Predicting SUNPHARMA.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-18 19:29:50,563 | WARNING | Predicting INFY.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-18 19:29:50,578 | WARNING | Predicting KOTAKBANK.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-18 19:29:50,621 | WARNING | Predicting MARUTI.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-18 19:29:50,635 | WARNING | Predicting AXISBANK.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-18 19:29:50,663 | WARNING | Predicting HCLTECH.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-18 19:29:50,678 | WARNING | Predicting ITC.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-18 19:29:50,706 | WARNING | Predicting NTPC.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-18 19:29:50,733 | WARNING | Predicting ETERNAL.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-18 19:29:50,748 | WARNING | Predicting JSWSTEEL.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-18 19:29:50,775 | WARNING | Predicting BEL.NS with 5 NaN feature(s): ['sector_dispersion', 'ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-18 19:29:50,790 | WARNING | Predicting ONGC.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-18 19:29:50,805 | WARNING | Predicting COALINDIA.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-18 19:29:50,818 | WARNING | Predicting POWERGRID.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-18 19:29:50,833 | WARNING | Predicting SHRIRAMFIN.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-18 19:29:50,849 | WARNING | Predicting ASIANPAINT.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-18 19:29:50,906 | WARNING | Predicting EICHERMOT.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
